system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,Texture,class,elevation_normalized,random,.geo
1_2_108_0,3326.5,917.5,1169.5,1600.0,2775.5,-0.99886274,-0.043898612,-0.03618015,0.027754916901239948,2,0.07513169,0.23182371511656774,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.54185292574226,40.298738055951176]}"
1_2_109_0,3321.5,767.5,1016.5,1477.0,2811.5,-0.99910676,-0.037476465,-0.027620113,0.027853264576541414,2,0.082617134,0.06811523956496845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.12323342906072,40.38874924741996]}"
1_2_110_0,3690.0,950.0,1271.0,1637.0,3275.0,-0.9991769,-0.055098783,-0.038512845,0.0192240490135827,2,0.09869698,0.534196484176758,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.38678541057583,40.40734437380123]}"
1_2_111_0,1699.0,215.0,331.0,267.0,1989.0,-0.9996269,0.14958061,0.08544951,0.03179399957272327,2,0.097588025,0.30296075142297396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.68879443481497,40.38847975283472]}"
1_2_112_0,2274.0,357.0,642.0,398.0,3941.0,-0.9994563,0.06168743,0.077928536,0.0294487490894501,2,0.110341005,0.3210246612198049,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.79164696056479,43.501142212308864]}"
1_2_114_0,1784.0,199.5,398.0,175.0,3831.0,-0.9995793,0.16131073,0.09333273,0.02690572688878656,2,0.114499584,0.6123344774731745,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.96277602218956,43.94014889165807]}"
1_2_115_0,1662.0,259.0,427.5,329.5,2764.5,-0.999617,0.13090676,0.10646747,0.010730790432397098,2,0.08622123,0.14953895984067722,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.51480906140841,44.47590412710696]}"
1_2_116_0,1851.0,214.5,370.5,241.5,2468.0,-0.99958736,0.16080734,0.07350117,0.017985549212083594,2,0.094815634,0.4895677238043906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.09439750844048,43.77979961344274]}"
1_2_117_0,2659.0,577.5,763.5,977.0,2962.0,-0.99918437,-0.032963056,0.024614265,0.016810168797643976,2,0.11976712,0.4410418658009525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.14870149441981,46.019569111337944]}"
1_2_118_0,2065.0,283.0,503.0,272.0,3318.0,-0.9995689,0.16287242,0.06173019,0.004052258175930731,2,0.122539505,0.6795682961624961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.75270582005253,45.67811947184411]}"
1_2_119_0,3133.0,500.0,785.0,700.0,2971.0,-0.9994318,-0.033948,0.03867269,0.008818843225498812,2,0.13057943,0.040851751304007644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.38340383246913,45.19141225090815]}"
1_2_120_0,2085.0,283.0,614.5,294.5,3740.5,-0.99939936,0.014249084,-0.0014370296,0.00751808784638966,2,0.11311339,0.563676487230455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.47880491564263,44.80872993987324]}"
1_2_123_0,3201.0,549.0,835.5,1068.0,2904.0,-0.9992869,-0.021043394,0.021254366,0.025178708349622454,2,0.090102576,0.5786999224365192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.68092585456952,43.94499979419232]}"
